brand,product_name,product_url,image_url,price,currency,availability,variant_options,type,brushing_modes,battery_type,battery_life,intensity_levels,timer,brush_head_compatibility,smart_features,pressure_sensor,uv_sanitizer,travel_case,water_resistance,rating_value,review_count,description
usmile,"usmile Y10 PRO Electric Toothbrush with Missed Spots Guidance
Sale",https://usmile.us/en-ca/products/usmile-y10-pro-smart-toothbrush,http://usmile.us/cdn/shop/files/Y10_PRO_1.png,176.99,CAD,InStock,Basic Care Pack: Default Kit | Basic Care Pack: 50 Count (Jar of 1) | Basic Care Pack: Blue | Basic Care Pack: Blue | Basic Care Pack: 2pc | Basic Care Pack: 2pc | Basic Care Pack: Most Recent | Option: Default Kit,sonic,clean | white | gum care | deep clean,rechargeable,"02
day",N/A,2-min with quadrant,,app integration | coaching/tracking,true,,,IPX8,,155,"See where plaque hides with AI-guided precision, gum-friendly pressure control, and 6-month power – all in a brush so smart, it’s like having a dentist coach your every move."
usmile,"usmile Y20 PRO Upgraded AI Electric Toothbrush
Sale",https://usmile.us/en-ca/products/usmile-y20-pro-electric-toothbrush,http://usmile.us/cdn/shop/files/Y20_PRO_1054542e-45da-4b2e-b7e4-0d492b706894.jpg,221.25,CAD,InStock,Pink: White | Pink: Default Kit | Pink: Blue | Pink: Blue | Pink: Blue | Pink: Most Recent | Option: White,,clean | white | gum care | deep clean,rechargeable,7 days,N/A,,,app integration | real-time feedback | coaching/tracking,,,,IPX8,,12,Experience the future of oral care with AI-powered cleaning that adapts to your unique needs. Clinically approved to remove up to 25x more plaque in just 7 days
usmile,"usmile P20 PRO Oscillation Vibration Sonic Toothbrush
Sale",https://usmile.us/en-ca/products/usmile-p20-pro-oscillating-vibrating-electric-toothbrush,http://usmile.us/cdn/shop/files/P20_PRO.jpg,83.84,CAD,InStock,,sonic,clean,rechargeable,5 hours,N/A,,,app integration | real-time feedback | coaching/tracking,,,,IPX8,,,"See every hidden spot surrender to the Smart Light Ring’s real-time coaching, TÜV-certified, and 3-month power – because flawless brushing should be this simple."
usmile,"usmile Q10 Kids Electric Toothbrush
Sale",https://usmile.us/en-ca/products/usmile-q10-kids-electric-toothbrush,http://usmile.us/cdn/shop/files/Kids_Toothbrush.jpg,66.37,CAD,InStock,Pink: Most Recent | Option: Blue,,clean | gum care,,,N/A,,,app integration | real-time feedback | coaching/tracking,true,,,,,10,"Watch your child develop healthy habits with real-time Smart Ring guidance, gentle gum protection, and fun, interactive stickers—all backed by dentist-approved care. Q10 turns brushing into a joyful adventure!"
usmile,Q10 Kids electric toothbrush replacement brush head,https://usmile.us/en-ca/products/q10-kids-electric-toothbrush-replacement-brush-head,http://usmile.us/cdn/shop/files/b08fb3776851d502df087320af87166f.jpg,23.74,CAD,InStock,Option: 2pc,,gum care,,,N/A,,compatible with the usmile q10 kids electric toothbrush,app integration | coaching/tracking,,,,,,,"Add Any 5 accessories Items to Your Cart, 1 of them will instantly become FREE, automatically! Soft, food-grade bristles designed for kids' gentle oral care – compatible with the usmile Q10 Kids Electric Toothbrush."
usmile,Last 50 Units — Mystery Box (Electric Toothbrush),https://usmile.us/en-ca/products/mystery-box-electric-toothbrush-only-last-50-units,http://usmile.us/cdn/shop/files/8ef0ec2875c17fd22431633660d7e170_c7354c99-f666-4371-8a86-8345ca3cccfd.webp,48.91,CAD,InStock,Option: Adults Edition,,clean,rechargeable,,N/A,,,app integration | coaching/tracking,,,,,,736,"Introducing our fun and “mysterious” bundle box! Now for a LIMITED TIME only! 🎁 What’s Inside? Each Mystery Box contains: At least 1 electric toothbrush & a surprise number of replacement brush heads ✨ Guaranteed Value of $60 or More! No matter what’s inside, you’ll always receive a bundle worth $60+. We have less than 100 boxes available and they will go quickly so be sure to pick up yours today and get this incredible value! *Please note: Mystery Box will be shipped separately when you purchase the box with other products."
usmile,"usmile C10 Portable Dental Flosser
Sale",https://usmile.us/en-ca/products/usmile-c10-portable-dental-flosser,http://usmile.us/cdn/shop/files/1-C10_BLUE.webp,153.70,CAD,InStock,White: Blue | White: Default Kit | White: White | White: White / White | White: Blue | White: Most Recent | Color: Blue: Blue,sonic,clean | white | gum care | sensitive,,"02
day",adjustable,,,app integration | coaching/tracking,true,,,,,127,"Choose from four flossing modes with adjustable water pressure to fit your needs. The C10 remembers your last-used mode and has an easy-to-use power button that responds to both light taps and full presses, giving you flexible control."
usmile,usmile Sonicare Toothbrush Head With Air Cushion - For All usmile Toothbrush,https://usmile.us/en-ca/products/usmile-whitening-brush-head-2-packs,http://usmile.us/cdn/shop/files/Sonicare_Toothbrush_Head.webp,23.74,CAD,InStock,Option: 2pc | Option: Blue | Option: Default Kit | Option: 2pc,sonic,clean | white | gum care,rechargeable,"02
day",N/A,,"compatible with all toothbrushes of usmile, including y10 pro, y1s, p20 pro, p10 pro,y20 pro",app integration | coaching/tracking,true,,,IPX8,,,"Add Any 5 accessories Items to Your Cart, 1 of them will instantly become FREE, automatically! usmile Diamondshine Brush Head with Air-Cushion is compatible with all toothbrushes of usmile, including Y10 PRO, Y1S, P20 PRO, P10 PRO,Y20 PRO"
usmile,usmile Ergonomic Brush Head 2.0 - Made for Better Cleanliness & Comfort,https://usmile.us/en-ca/products/usmile-ergonomic-brush-head-made-for-better-cleanliness-comfort,http://usmile.us/cdn/shop/files/0-0_effe4352-d6de-47f8-8042-8641731f4b05.webp,27.94,CAD,InStock,Option: 2pc,,clean | gum care | sensitive,,,N/A,,compatible (see page),app integration | coaching/tracking,,,,,,,"The innovative three-section biomimetic fin design, wrapped in ultra-thin food-grade⁴ silicone, reaches even the most sensitive, hard-to-clean areas—delivering powerful cleaning with exceptional comfort."
usmile,usmile Dental Floss Picks Twin-Line for Deep Cleaning,https://usmile.us/en-ca/products/usmile-dental-floss-picks-twin-line-for-deep-cleaning,http://usmile.us/cdn/shop/files/8dce414a63c9fc18ab814180dcc7a66d.jpg,13.96,CAD,InStock,Option: 50 Count (Jar of 1),,clean | deep clean,,,N/A,,,coaching/tracking,,,,,,,Elevate your routine with the Freshening Twin-Line Floss Pick: Dentist-inspired efficiency meets refreshing mint care. It effortlessly tackles plaque between teeth – all with one ingenious tool. Achieve a clinic-level clean at home – for yourself or your loved ones.
