Brand,Model,Title,Description,Price (USD),Rating (out of 5),Availability,Battery_Type,Waterproof
Burst,Original Sonic,Burst Original Sonic – Black Standard,"Sonic electric toothbrush in Black (Standard). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: replacement reminder for brush heads, USB fast charging; 30+ days battery. Ideal for daily plaque removal and gum care.",65.99,4.4,Limited Edition,NiMH Rechargeable,Splash Resistant
Burst,Original Sonic,Burst Original Sonic – White Standard,"Sonic electric toothbrush in White (Standard). Modes: Clean, White, Gum Care. Key features: compact travel case included, pressure sensor for gentle brushing. Ideal for daily plaque removal and gum care.",71.99,4.6,Limited Edition,NiMH Rechargeable,Splash Resistant
Burst,Pro Sonic,Burst Pro Sonic – Black Travel Case,"Sonic electric toothbrush in Black (Travel Case). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: compact travel case included, USB fast charging; 30+ days battery. Ideal for daily plaque removal and gum care.",75.99,4.6,In Stock,NiMH Rechargeable,Splash Resistant
Burst,Pro Sonic,Burst Pro Sonic – Pink Standard,"Sonic electric toothbrush in Pink (Standard). Modes: Clean, White, Gum Care. Key features: USB fast charging; 30+ days battery, compact travel case included. Ideal for daily plaque removal and gum care.",72.99,4.5,Online Only,AA Battery Powered,Splash Resistant
Burst,Original Sonic,Burst Original Sonic – Pink Family Pack (4 heads),"Sonic electric toothbrush in Pink (Family Pack (4 heads)). Modes: Clean, White, Gum Care. Key features: IPX7 water resistant handle, USB fast charging; 30+ days battery. Ideal for daily plaque removal and gum care.",70.99,4.7,Limited Edition,Rechargeable Lithium-Ion,Splash Resistant
Burst,Pro Sonic,Burst Pro Sonic – Mint Pro Care (8 heads),"Sonic electric toothbrush in Mint (Pro Care (8 heads)). Modes: Clean, White, Gum Care. Key features: replacement reminder for brush heads, pressure sensor for gentle brushing. Ideal for daily plaque removal and gum care.",75.99,4.5,Online Only,NiMH Rechargeable,IPX7 Waterproof
Burst,Original Sonic,Burst Original Sonic – Lavender Family Pack (4 heads),"Sonic electric toothbrush in Lavender (Family Pack (4 heads)). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: 2-minute smart timer with 30-second pacer, USB fast charging; 30+ days battery. Ideal for daily plaque removal and gum care.",67.99,4.6,Out of Stock,NiMH Rechargeable,IPX7 Waterproof
Burst,Pro Sonic,Burst Pro Sonic – Pink Family Pack (4 heads),"Sonic electric toothbrush in Pink (Family Pack (4 heads)). Modes: Clean, White, Gum Care, Sensitive. Key features: replacement reminder for brush heads, IPX7 water resistant handle. Ideal for daily plaque removal and gum care.",78.99,4.6,In Stock,Rechargeable Lithium-Ion,Fully Waterproof
Burst,Original Sonic,Burst Original Sonic – Pink Gift Set,"Sonic electric toothbrush in Pink (Gift Set). Modes: Clean, White, Gum Care, Sensitive. Key features: 2-minute smart timer with 30-second pacer, USB fast charging; 30+ days battery. Ideal for daily plaque removal and gum care.",66.99,4.5,Online Only,NiMH Rechargeable,Fully Waterproof
Burst,Pro Sonic,Burst Pro Sonic – Navy Gift Set,"Sonic electric toothbrush in Navy (Gift Set). Modes: Clean, White, Gum Care. Key features: IPX7 water resistant handle, 2-minute smart timer with 30-second pacer. Ideal for daily plaque removal and gum care.",77.99,4.8,Limited Edition,Rechargeable Lithium-Ion,Fully Waterproof
Burst,Pro Sonic,Burst Pro Sonic – Pink Travel Case,"Sonic electric toothbrush in Pink (Travel Case). Modes: Clean, White, Gum Care. Key features: pressure sensor for gentle brushing, IPX7 water resistant handle. Ideal for daily plaque removal and gum care.",77.99,4.4,Out of Stock,Rechargeable Lithium-Ion,Fully Waterproof
Burst,Pro Sonic,Burst Pro Sonic – Mint Standard,"Sonic electric toothbrush in Mint (Standard). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: USB fast charging; 30+ days battery, 2-minute smart timer with 30-second pacer. Ideal for daily plaque removal and gum care.",72.99,4.5,Out of Stock,Rechargeable Lithium-Ion,Splash Resistant
Burst,Original Sonic,Burst Original Sonic – Lavender Travel Case,"Sonic electric toothbrush in Lavender (Travel Case). Modes: Clean, White, Gum Care, Sensitive. Key features: 2-minute smart timer with 30-second pacer, USB fast charging; 30+ days battery. Ideal for daily plaque removal and gum care.",63.99,4.6,In Stock,AA Battery Powered,Splash Resistant
Burst,Original Sonic,Burst Original Sonic – Black Family Pack (4 heads),"Sonic electric toothbrush in Black (Family Pack (4 heads)). Modes: Clean, White, Gum Care. Key features: IPX7 water resistant handle, 2-minute smart timer with 30-second pacer. Ideal for daily plaque removal and gum care.",76.99,4.6,Limited Edition,AA Battery Powered,Fully Waterproof
Burst,Pro Sonic,Burst Pro Sonic – Mint Gift Set,"Sonic electric toothbrush in Mint (Gift Set). Modes: Clean, White, Gum Care. Key features: USB fast charging; 30+ days battery, pressure sensor for gentle brushing. Ideal for daily plaque removal and gum care.",73.99,4.7,Limited Edition,AA Battery Powered,Fully Waterproof
Burst,Original Sonic,Burst Original Sonic – Mint Gift Set,"Sonic electric toothbrush in Mint (Gift Set). Modes: Clean, White, Gum Care, Sensitive. Key features: pressure sensor for gentle brushing, replacement reminder for brush heads. Ideal for daily plaque removal and gum care.",71.99,4.6,Online Only,Rechargeable Lithium-Ion,Splash Resistant
Burst,Original Sonic,Burst Original Sonic – White Family Pack (4 heads),"Sonic electric toothbrush in White (Family Pack (4 heads)). Modes: Clean, White, Gum Care, Sensitive. Key features: 2-minute smart timer with 30-second pacer, compact travel case included. Ideal for daily plaque removal and gum care.",64.99,4.7,Limited Edition,NiMH Rechargeable,Fully Waterproof
Burst,Original Sonic,Burst Original Sonic – White Travel Case,"Sonic electric toothbrush in White (Travel Case). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: pressure sensor for gentle brushing, 2-minute smart timer with 30-second pacer. Ideal for daily plaque removal and gum care.",69.99,4.5,Limited Edition,AA Battery Powered,Splash Resistant
Burst,Pro Sonic,Burst Pro Sonic – White Standard,"Sonic electric toothbrush in White (Standard). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: replacement reminder for brush heads, 2-minute smart timer with 30-second pacer. Ideal for daily plaque removal and gum care.",74.99,4.5,Limited Edition,NiMH Rechargeable,Fully Waterproof
Burst,Original Sonic,Burst Original Sonic – Black Pro Care (8 heads),"Sonic electric toothbrush in Black (Pro Care (8 heads)). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: compact travel case included, USB fast charging; 30+ days battery. Ideal for daily plaque removal and gum care.",66.99,4.3,Limited Edition,NiMH Rechargeable,Splash Resistant
Burst,Pro Sonic,Burst Pro Sonic – White Family Pack (4 heads),"Sonic electric toothbrush in White (Family Pack (4 heads)). Modes: Clean, White, Gum Care. Key features: USB fast charging; 30+ days battery, replacement reminder for brush heads. Ideal for daily plaque removal and gum care.",84.99,4.4,Out of Stock,Rechargeable Lithium-Ion,Splash Resistant
Burst,Original Sonic,Burst Original Sonic – Mint Pro Care (8 heads),"Sonic electric toothbrush in Mint (Pro Care (8 heads)). Modes: Clean, White, Gum Care. Key features: 2-minute smart timer with 30-second pacer, USB fast charging; 30+ days battery. Ideal for daily plaque removal and gum care.",74.99,4.3,In Stock,NiMH Rechargeable,IPX7 Waterproof
Burst,Original Sonic,Burst Original Sonic – Lavender Pro Care (8 heads),"Sonic electric toothbrush in Lavender (Pro Care (8 heads)). Modes: Clean, White, Gum Care. Key features: compact travel case included, IPX7 water resistant handle. Ideal for daily plaque removal and gum care.",71.99,4.4,Online Only,AA Battery Powered,Splash Resistant
Burst,Pro Sonic,Burst Pro Sonic – Navy Family Pack (4 heads),"Sonic electric toothbrush in Navy (Family Pack (4 heads)). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: 2-minute smart timer with 30-second pacer, USB fast charging; 30+ days battery. Ideal for daily plaque removal and gum care.",79.99,4.7,Limited Edition,Rechargeable Lithium-Ion,Splash Resistant
Burst,Original Sonic,Burst Original Sonic – Teal Standard,"Sonic electric toothbrush in Teal (Standard). Modes: Clean, White, Gum Care. Key features: USB fast charging; 30+ days battery, replacement reminder for brush heads. Ideal for daily plaque removal and gum care.",69.99,4.7,In Stock,NiMH Rechargeable,Splash Resistant
Burst,Pro Sonic,Burst Pro Sonic – Navy Travel Case,"Sonic electric toothbrush in Navy (Travel Case). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: replacement reminder for brush heads, compact travel case included. Ideal for daily plaque removal and gum care.",84.99,4.7,Out of Stock,NiMH Rechargeable,Fully Waterproof
Burst,Original Sonic,Burst Original Sonic – Mint Standard,"Sonic electric toothbrush in Mint (Standard). Modes: Clean, White, Gum Care. Key features: USB fast charging; 30+ days battery, pressure sensor for gentle brushing. Ideal for daily plaque removal and gum care.",71.99,4.5,In Stock,NiMH Rechargeable,IPX7 Waterproof
